sampleID_FIELD	trapID	sample_type	date	time	sample_accession_ENA	sample_status
TJBXIG_L	TJBXIG	litter	10-07-2019	02:30:00_PM	ERS18959040	sample processed and sequenced
TKCEJN_L	TKCEJN	litter	03-07-2019	02:00:00_PM	ERS18959062	sample processed and sequenced
TLY1VQ_L	TLY1VQ	litter	23-07-2019	04:15:00_PM	ERS18959086	sample processed and sequenced
TRXMCY_L	TRXMCY	litter	17-07-2019	01:30:00_PM	ERS18959132	sample processed and sequenced
TT79BQ_L	TT79BQ	litter	23-07-2019	01:15:00_PM	ERS18959156	sample processed and sequenced
TUBWQK_L	TUBWQK	litter	11-07-2019	08:49:00_AM	ERS18959170	sample processed and sequenced
TV2QKF_L	TV2QKF	litter	08-07-2019	03:25:00_PM	ERS18959182	sample processed and sequenced
TV6Z5Y_L	TV6Z5Y	litter	15-07-2019	07:30:00_PM	ERS18959186	sample processed and sequenced
TWSFGJ_L	TWSFGJ	litter	19-07-2019	08:30:00_AM	ERS18959206	sample processed and sequenced
TYAASL_L	TYAASL	litter	04-07-2019	10:00:00_AM	ERS18959216	sample processed and sequenced
TYKB9L_L	TYKB9L	litter	30-06-2019	01:35:00_PM	ERS18959222	sample processed and sequenced
TYRKAV_L	TYRKAV	litter	27-07-2019	06:00:00_PM	ERS18959226	sample processed and sequenced
TYUAHW_L	TYUAHW	litter	26-06-2019	02:20:00_PM	ERS18959228	sample processed and sequenced
TZFRJA_L	TZFRJA	litter	18-07-2019	01:14:00_PM	ERS18959234	sample processed and sequenced
TZWKHK_L	TZWKHK	litter	19-07-2019	06:00:00_PM	ERS18959242	sample processed and sequenced
THG7AZ_L	THG7AZ	litter	15-07-2019	12:45:00_PM	ERS18959018	sample processed and sequenced
TG8NKF_L	TG8NKF	litter	11-07-2019	10:50:00_AM	ERS18959005	sample processed and sequenced
TLFBSS_L	TLFBSS	litter	01-07-2019	08:50:00_AM	ERS18959080	sample processed and sequenced
TMYD2K_L	TMYD2K	litter	25-07-2019	01:00:00_PM	ERS18959104	sample processed and sequenced
TSDGQK_L	TSDGQK	litter	01-07-2019	01:00:00_PM	ERS18959140	sample processed and sequenced
TSTZUY_L	TSTZUY	litter	26-07-2019	01:15:00_PM	ERS18959152	sample processed and sequenced
T5CELX_L	T5CELX	litter	03-07-2019	01:05:00_PM	ERS18958895	sample processed and sequenced
TDGFXV_L	TDGFXV	litter	10-07-2019	03:35:00_PM	ERS18958965	sample processed and sequenced
TEPZPF_L	TEPZPF	litter	26-07-2019	01:05:00_PM	ERS18958977	sample processed and sequenced
TMNPJH_L	TMNPJH	litter	01-07-2019	05:00:00_PM	ERS18959098	sample processed and sequenced
TXHDAT_L	TXHDAT	litter	09-07-2019	11:50:00_AM	ERS18959212	sample processed and sequenced
T6LS76_L	T6LS76	litter	22-07-2019	05:00:00_PM	ERS18958909	sample processed and sequenced
TBSQHF_L	TBSQHF	litter	22-07-2019	12:39:00_PM	ERS18958947	sample processed and sequenced
TPFJTD_L	TPFJTD	litter	26-06-2019	02:00:00_PM	ERS18959114	sample processed and sequenced
TQNH2B_L	TQNH2B	litter	26-07-2019	04:00:00_PM	ERS18959120	sample processed and sequenced
TRH2QM_L	TRH2QM	litter	23-07-2019	05:15:00_PM	NA	sample processed but sequencing failed
TUDGN3_L	TUDGN3	litter	08-07-2019	02:55:00_PM	ERS18959172	sample processed and sequenced
TZXF7I_L	TZXF7I	litter	25-07-2019	01:50:00_PM	ERS18959244	sample processed and sequenced
T1N5UR_L	T1N5UR	litter	04-07-2019	10:15:00_AM	NA	sample processed but sequencing failed
TEVVLD_L	TEVVLD	litter	04-07-2019	10:00:00_AM	ERS18958979	sample processed and sequenced
TJW6L7_L	TJW6L7	litter	15-07-2019	12:20:00_PM	ERS18959046	sample processed and sequenced
TMLQED_L	TMLQED	litter	23-07-2019	11:10:00_AM	ERS18959094	sample processed and sequenced
TMXZCE_L	TMXZCE	litter	18-07-2019	12:30:00_PM	NA	sample processed but sequencing failed
TNGTPF_L	TNGTPF	litter	16-07-2019	10:20:00_AM	ERS18959108	sample processed and sequenced
TTA2EM_L	TTA2EM	litter	09-07-2019	04:00:00_PM	ERS18959158	sample processed and sequenced
TTWBA4_L	TTWBA4	litter	05-07-2019	08:30:00_AM	ERS18959166	sample processed and sequenced
TUPA8G_L	TUPA8G	litter	03-07-2019	03:00:00_PM	ERS18959176	sample processed and sequenced
TVCC3Y_L	TVCC3Y	litter	01-07-2019	02:00:00_PM	ERS18959188	sample processed and sequenced
